amenities,availability,building_name,description,name,operator,type,url
n/a,sold out,Bath Street,n/a,Classic Studio - Park View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/333-bath-street/
n/a,sold out,Willowbank,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,available,Willowbank,n/a,Classic 3-4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,sold out,Willowbank,n/a,Classic 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,sold out,Willowbank,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,available,Willowbank,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,sold out,Willowbank,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
n/a,available,Oldgate House,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,available,Oldgate House,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,available,Oldgate House,n/a,Classic Studio - Own Terrace,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,sold out,Oldgate House,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,available,Oldgate House,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,sold out,Oldgate House,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
n/a,sold out,Metrovick House,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/
n/a,sold out,Metrovick House,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/
n/a,sold out,Metrovick House,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/
n/a,sold out,St Marys,n/a,Premium Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Bigger Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Bigger 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Bigger Studio - Dual Aspect,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium Duplex,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,St Marys,n/a,Premium 1-Bed Apartment,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
n/a,sold out,Claremont Place,n/a,"Classic Smaller Studio - Single Bed, Great View",Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Smaller Studio - Single Bed,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Smaller 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Studio - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic Bigger Studio - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic 1-Bed Apartment,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,sold out,Claremont Place,n/a,Classic 1-Bed Apartment - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
n/a,available,The Ballet School,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/
n/a,available,The Ballet School,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/
n/a,available,The Ballet School,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/
n/a,sold out,The Ballet School,n/a,Classic XL Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/
n/a,sold out,College Green,n/a,Classic Smaller 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Classic 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Premium 2 Bed Apartment - Shared Bathroom,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Premium Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,College Green,n/a,Premium Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
n/a,sold out,Europa House,n/a,Classic 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Shared Apartment - Great View,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic 2 Bed Apartment - Great View,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Smaller Studio - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Studio - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,Europa House,n/a,Classic Bigger Studio - Great View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
n/a,sold out,George Street Apartments,n/a,Classic Bigger 2 Bed Apartment - Churchyard View,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Smaller Studio - Churchyard View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Studio - Churchyard View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Bigger Accessible Studio - Churchyard View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,George Street Apartments,n/a,Classic Bigger Studio - Churchyard View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
n/a,sold out,Buccleuch Street,n/a,Classic 3-4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/
n/a,available,Buccleuch Street,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/
n/a,sold out,Buccleuch Street,n/a,Classic Studio - Park View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/
n/a,sold out,Kings Stables Road,n/a,Premium Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium Smaller Studio - Castle View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium Bigger Studio - Limited View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,available,Kings Stables Road,n/a,Premium Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,"Premium Smaller Studio - Castle View, Own Terrace",Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,available,Kings Stables Road,n/a,Premium Studio - Castle View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium Bigger Studio - Castle View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,"Premium Studio - Castle View, Own Terrace",Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,"Premium Bigger Studio - Castle View, Own Terrace",Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kings Stables Road,n/a,Premium XL Studio - Castle View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
n/a,sold out,Kingsmill Studios,n/a,Classic Bigger 2 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
n/a,sold out,Kingsmill Studios,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
n/a,sold out,Kingsmill Studios,n/a,Classic Smaller Studio - Canal View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
n/a,sold out,Kingsmill Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
n/a,sold out,Kingsmill Studios,n/a,Classic Studio - Canal View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
n/a,sold out,Kingsmill Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
