academic_year,availability,booking_fee,building_name,currency,date_end,date_start,deposit,description,offers,rent_pm,rent_pw,rent_total,room_name,tenancy_months,tenancy_type,tenancy_weeks,url,utilities_included
2023/2024,sold out,n/a,The Ballet School,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1300.0,300.0,12900.0,Classic XL Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1118.0,258.0,11094.0,Classic Smaller 2 Bed Apartment - Shared Bathroom,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1274.0,294.0,12642.0,Classic 2 Bed Apartment - Shared Bathroom,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1347.67,311.0,13373.0,Premium 2 Bed Apartment - Shared Bathroom,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1395.33,322.0,13846.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1534.0,354.0,15222.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1551.33,358.0,15394.0,Classic Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1681.33,388.0,16684.0,Premium Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,College Green,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1846.0,426.0,18318.0,Premium Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,710.67,164.0,7052.0,Classic 2 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,745.33,172.0,7396.0,Classic Shared Apartment - Great View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,05/07/24,28/10/23,n/a,n/a,n/a,762.67,176.0,6336.0,Classic Shared Apartment,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,05/07/24,28/10/23,n/a,n/a,n/a,780.0,180.0,6480.0,Classic Shared Apartment - Great View,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,788.67,182.0,7826.0,Classic 2 Bed Apartment - Great View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,819.0,189.0,8127.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,05/07/24,28/10/23,n/a,n/a,n/a,827.67,191.0,6876.0,Classic 2 Bed Apartment,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,862.33,199.0,8557.0,Classic Smaller Studio - Great View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,866.67,200.0,8600.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,871.0,201.0,8643.0,Classic Studio - Great View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,918.67,212.0,9116.0,Classic Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,966.33,223.0,9589.0,Classic Bigger Studio - Great View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,05/07/24,28/10/23,n/a,n/a,n/a,966.33,223.0,8028.0,Classic Bigger Studio - Great View,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,Europa House,GBP,05/07/24,28/10/23,n/a,n/a,n/a,970.67,224.0,8064.0,Classic Studio,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,996.67,230.0,9890.0,Classic Bigger 2 Bed Apartment - Churchyard View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1057.33,244.0,10492.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1074.67,248.0,10664.0,Classic Smaller Studio - Churchyard View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1105.0,255.0,10965.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1135.33,262.0,11266.0,Classic Studio - Churchyard View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1308.67,302.0,12986.0,Classic Bigger Accessible Studio - Churchyard View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,George Street Apartments,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1308.67,302.0,12986.0,Classic Bigger Studio - Churchyard View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/,n/a
2023/2024,sold out,n/a,Buccleuch Street,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1196.0,276.0,11592.0,Classic 3-4 Bed Apartment,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/,n/a
2023/2024,available,n/a,Buccleuch Street,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1620.67,374.0,15708.0,Classic Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/,n/a
2023/2024,sold out,n/a,Buccleuch Street,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1646.67,380.0,15960.0,Classic Studio - Park View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1456.0,336.0,14112.0,Premium Studio - Limited View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1482.0,342.0,14364.0,Premium Smaller Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1521.0,351.0,14742.0,Premium Smaller Studio - Castle View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1538.33,355.0,14910.0,Premium Bigger Studio - Limited View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,available,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1560.0,360.0,15120.0,Premium Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1603.33,370.0,15540.0,Premium Bigger Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1659.67,383.0,16086.0,"Premium Smaller Studio - Castle View, Own Terrace",9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,available,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1659.67,383.0,16086.0,Premium Studio - Castle View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1694.33,391.0,16422.0,Premium Bigger Studio - Castle View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1724.67,398.0,16716.0,"Premium Studio - Castle View, Own Terrace",9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1768.0,408.0,17136.0,"Premium Bigger Studio - Castle View, Own Terrace",9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kings Stables Road,GBP,16/08/24,28/10/23,n/a,n/a,n/a,1785.33,412.0,17304.0,Premium XL Studio - Castle View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,628.33,145.0,6380.0,Classic Bigger 2 Bed Apartment,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,641.33,148.0,6512.0,Classic Smaller Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,658.67,152.0,6688.0,Classic Smaller Studio - Canal View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,680.33,157.0,6908.0,Classic Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,702.0,162.0,7128.0,Classic Studio - Canal View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,30/08/24,28/10/23,n/a,n/a,n/a,762.67,176.0,7744.0,Classic Bigger Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
2023/2024,sold out,n/a,Kingsmill Studios,GBP,12/07/24,28/10/23,n/a,n/a,n/a,762.67,176.0,6512.0,Classic Studio,8.5,shorter tenancy,37,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/,n/a
