academic_year,availability,booking_fee,building_name,currency,date_end,date_start,deposit,description,offers,rent_pm,rent_pw,rent_total,room_name,tenancy_months,tenancy_type,tenancy_weeks,url,utilities_included
2023/2024,sold out,n/a,Pavilion Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1230.67,284.0,12496.0,Classic 1-Bed Apartment - Great View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,n/a
2023/2024,sold out,n/a,Pavilion Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1252.33,289.0,12716.0,Classic Bigger 1-Bed Apartment - Great View,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,n/a
2023/2024,sold out,n/a,Pavilion Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1261.0,291.0,12804.0,Classic Bigger 1-Bed Apartment - Balcony,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,n/a
2023/2024,sold out,n/a,Pavilion Court,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1321.67,305.0,13420.0,Classic 1-Bed Apartment - Balcony,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,n/a
2023/2024,sold out,n/a,Pavilion Court,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1326.0,306.0,13158.0,Classic Bigger 1-Bed Apartment - Balcony,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/,n/a
2023/2024,sold out,n/a,Caledonia Mills,GBP,23/08/24,28/10/23,n/a,n/a,n/a,424.67,98.0,4214.0,Classic 4 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,sold out,n/a,Caledonia Mills,GBP,23/08/24,28/10/23,n/a,n/a,n/a,429.0,99.0,4257.0,Classic 3 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,sold out,n/a,Caledonia Mills,GBP,05/07/24,28/10/23,n/a,n/a,n/a,459.33,106.0,3816.0,Classic 3 Bed Apartment,8.3,shorter tenancy,36,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,available,n/a,Caledonia Mills,GBP,23/08/24,28/10/23,n/a,n/a,n/a,667.33,154.0,6622.0,Classic 2 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,sold out,n/a,Caledonia Mills,GBP,23/08/24,28/10/23,n/a,n/a,n/a,758.33,175.0,7525.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,sold out,n/a,Caledonia Mills,GBP,23/08/24,28/10/23,n/a,n/a,n/a,797.33,184.0,7912.0,Classic 1-Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1165.67,269.0,11567.0,Classic Smaller 3 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1222.0,282.0,12126.0,Classic 3 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1274.0,294.0,12642.0,Classic Studio - Ground Floor,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1308.67,302.0,12986.0,Classic Smaller Studio - Limited View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1321.67,305.0,13115.0,Classic Smaller Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1334.67,308.0,13244.0,Classic Studio - Limited View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1473.33,340.0,14620.0,Classic Duplex,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1482.0,342.0,14706.0,Classic Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1581.67,365.0,15695.0,Classic Bigger Studio - Limited View,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1655.33,382.0,16426.0,Classic XL Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,1681.33,388.0,16684.0,Classic Bigger Studio,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,William & Matthew House,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1729.0,399.0,17556.0,Classic XL Studio,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/,n/a
2023/2024,sold out,n/a,Samuel Tuke Apartments,GBP,30/08/24,28/10/23,n/a,n/a,n/a,1001.0,231.0,10164.0,Classic Smaller 2 Bed Apartment - Shared Bathroom,10.2,shorter tenancy,44,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/,n/a
